sample cpu_percent rss_kib
1 34.0 163396
2 31.5 185712
3 37.8 186132
4 40.5 194436
5 43.5 189776
6 42.6 194268
7 45.1 190628
8 46.6 190932
9 48.2 197816
10 49.1 192872
11 48.8 193200
12 49.8 199368
13 50.7 194168
14 51.0 194408
15 51.2 195108
16 51.8 196736
17 52.5 198648
18 52.9 198916
19 53.2 199364
20 53.2 199568
21 53.9 199964
22 54.5 200412
23 54.8 200944
24 53.1 201528
25 53.9 202792
26 53.9 203132
27 54.0 203544
28 54.5 204612
29 54.7 205068
30 55.1 205320
31 55.5 205548
32 55.8 206044
33 56.1 206548
34 56.2 206820
35 56.3 207012
36 56.4 207172
37 56.8 207920
38 56.3 207960
39 55.8 208128
40 56.0 208652
41 56.3 209140
42 56.7 209316
43 56.9 209688
44 57.1 210116
45 57.5 210376
46 57.2 210496
47 57.5 210964
48 57.8 211316
49 57.8 211624
50 58.0 211956
51 58.4 212148
52 58.6 212684
53 58.5 212916
54 58.8 213080
55 58.6 213424
56 58.2 213452
57 58.0 219520
58 58.2 214028
59 57.9 214076
60 58.3 214512
