elapsed_s	epoch_s	mem_available_kib	swap_used_kib	dimos_rss_kib	rtabmap_rss_kib	dimos_cpu_pct	load1	gpu_pct	max_temp_millic	db_bytes	nav_publishers
0	1783772855	3486452	542208	0	447172	0.0	4.14	0	0	17489920	0
11	1783772866	3481012	542208	0	448252	0.0	4.38	0	0	17489920	0
22	1783772877	3461792	542208	0	458580	0.0	4.25	0	0	17489920	0
33	1783772888	3447544	542208	0	471112	0.0	3.82	0	0	17489920	0
43	1783772898	3434996	542208	0	480300	0.0	3.63	0	0	17489920	0
54	1783772909	3436220	542208	0	479960	0.0	3.20	0	0	19525632	0
65	1783772920	3417424	542208	0	491884	0.0	3.17	0	0	22474752	0
76	1783772931	3414060	542208	0	497004	0.0	3.24	0	0	25411584	0
87	1783772942	3409868	542208	0	500432	0.0	3.13	0	0	28594176	0
98	1783772953	3404020	542208	0	505532	0.0	3.26	0	0	31330304	0
109	1783772964	3396788	542208	0	511836	0.0	3.72	0	0	34078720	0
120	1783772975	3391068	542208	0	514216	0.0	3.69	0	0	36814848	0
131	1783772986	3389108	542208	0	514584	0.0	3.50	0	0	38428672	0
142	1783772997	3383652	542208	0	520432	0.0	3.93	0	0	40710144	0
153	1783773008	3380748	542208	0	523524	0.0	3.79	0	0	43659264	0
163	1783773018	3366016	542208	0	534928	0.0	3.51	0	0	46825472	0
174	1783773029	3361244	542208	0	532132	0.0	3.53	0	0	49553408	0
185	1783773040	3367048	542208	0	535856	0.0	3.29	0	0	51822592	0
196	1783773051	3354304	542208	0	530988	0.0	3.61	0	0	54534144	0
207	1783773062	3351444	542208	0	530956	0.0	3.60	0	0	57274368	0
218	1783773073	3347800	542208	0	535116	0.0	3.75	0	0	59789312	0
229	1783773084	3347544	542208	0	532160	0.0	3.58	0	0	62980096	0
240	1783773095	3334712	542208	0	544688	0.0	3.65	0	0	65495040	0
251	1783773106	3331792	542208	0	544832	0.0	3.63	0	0	67784704	0
262	1783773117	3336256	542208	0	545792	0.0	3.69	0	0	69836800	0
273	1783773128	3318060	542208	0	545736	0.0	3.43	0	0	71659520	0
284	1783773139	3326624	542208	0	546824	0.0	3.55	0	0	74395648	0
295	1783773150	3332816	542208	0	541896	0.0	3.39	0	0	76427264	0
306	1783773161	3324800	542208	0	549848	0.0	3.49	0	0	79618048	0
316	1783773171	3325804	542208	0	550540	0.0	3.97	0	0	82358272	0
327	1783773182	3321580	542208	0	556912	0.0	4.07	0	0	84873216	0
338	1783773193	3325836	544512	0	548256	0.0	4.13	0	0	87154688	0
349	1783773204	3309684	544512	0	553936	0.0	3.94	0	0	88989696	0
360	1783773215	3315864	544512	0	554484	0.0	3.71	0	0	91041792	0
371	1783773226	3322816	544512	0	551104	0.0	3.92	0	0	94212096	0
382	1783773237	3316840	544512	0	552540	0.0	3.70	0	0	95571968	0
393	1783773248	3308852	544512	0	557956	0.0	3.68	0	0	97619968	0
404	1783773259	3277344	544768	0	553868	0.0	3.60	0	0	99471360	0
415	1783773270	3266376	545024	0	559280	0.0	3.80	0	0	101306368	0
426	1783773281	3260904	545280	0	559008	0.0	3.75	0	0	103358464	0
437	1783773292	3266688	545280	0	559240	0.0	3.86	0	0	105418752	0
448	1783773303	3274616	545536	0	559512	0.0	3.74	0	0	107241472	0
459	1783773314	3259900	545536	0	560152	0.0	4.26	0	0	109752320	0
470	1783773325	3260276	546048	0	560556	0.0	3.91	0	0	111804416	0
481	1783773336	3256260	546048	0	561156	0.0	3.86	0	0	114323456	0
492	1783773347	3293376	546048	0	561224	0.0	3.88	0	0	116830208	0
503	1783773358	3297456	546048	0	562820	0.0	3.81	0	0	118890496	0
514	1783773369	3296228	546048	0	563072	0.0	4.16	0	0	120496128	0
525	1783773380	3290668	546048	0	564008	0.0	3.90	0	0	121872384	0
536	1783773391	3292028	546048	0	564712	0.0	3.92	0	0	123920384	0
547	1783773402	3286936	546048	0	565748	0.0	3.78	0	0	125980672	0
558	1783773413	3298192	546048	0	561016	0.0	4.02	0	0	127799296	0
569	1783773424	3299088	546048	0	561080	0.0	3.79	0	0	129630208	0
579	1783773434	3283312	546048	0	567532	0.0	4.15	0	0	131461120	0
590	1783773445	3280980	546048	0	568084	0.0	3.82	0	0	132841472	0
