elapsed_s	epoch_s	stack_rss_kib	stack_cpu_pct	rtabmap_rss_kib	gpu_pct	max_temp_millic	nav_publishers
0	1783773092	1865444	132.0	544380	7	61781	0
11	1783773103	1865652	133.4	544588	7	62031	0
23	1783773115	1866888	133.9	545824	7	62437	0
34	1783773126	1874160	135.0	545720	10	62375	0
46	1783773138	1869388	136.3	546824	20	62750	0
58	1783773150	1869804	136.8	541368	12	62187	0
69	1783773161	1872676	137.5	549848	21	62531	0
81	1783773173	1873828	138.3	550428	12	62593	0
92	1783773184	1873980	139.4	551152	11	62156	0
104	1783773196	1872572	139.4	558076	7	62250	0
116	1783773208	1873608	139.6	553868	21	62593	0
127	1783773219	1873556	139.7	554408	11	62625	0
139	1783773231	1870792	140.5	556656	10	62312	0
151	1783773243	1876904	141.2	557756	7	62375	0
162	1783773254	1881880	142.2	559500	18	62250	0
174	1783773266	1874012	142.3	554572	17	63531	0
185	1783773277	1877964	142.3	559396	7	63375	0
197	1783773289	1876140	143.0	559008	11	63562	0
209	1783773301	1876848	143.3	559716	12	64062	0
221	1783773313	1878780	143.7	560408	17	63437	0
232	1783773324	1878184	143.9	560724	7	64250	0
244	1783773336	1876964	144.4	561156	8	64187	0
256	1783773348	1877036	144.5	561224	22	63125	0
268	1783773360	1879332	144.9	562768	11	63531	0
279	1783773371	1879764	145.3	563200	18	63218	0
291	1783773383	1880672	145.5	564108	16	63437	0
303	1783773395	1881220	146.0	564656	7	63000	0
314	1783773406	1882824	146.4	560984	16	63187	0
326	1783773418	1882400	146.5	565572	23	63093	0
337	1783773429	1883060	147.1	566448	15	63625	0
349	1783773441	1883756	147.1	566664	6	62625	0
360	1783773452	1886796	147.1	568384	7	63218	0
372	1783773464	22176	0.2	0	7	62593	0
384	1783773476	1069280	226.8	0	18	63437	0
395	1783773487	1143180	135.0	0	10	62000	0
