elapsed_s	epoch_s	mem_available_kib	swap_used_kib	dimos_rss_kib	rtabmap_rss_kib	dimos_cpu_pct	load1	gpu_pct	max_temp_millic	db_bytes	nav_publishers
0	1783774301	3478948	543744	0	429904	0.0	4.09	0	0	3461120	0
11	1783774312	3454868	543744	0	452448	0.0	3.62	0	0	6410240	0
22	1783774323	3441640	543744	0	450476	0.0	4.38	0	0	9535488	0
33	1783774334	3444896	543744	0	453788	0.0	4.01	0	0	11784192	0
44	1783774345	3437764	543744	0	467072	0.0	4.26	0	0	15388672	0
55	1783774356	3422968	543744	0	478016	0.0	4.38	0	0	18112512	0
66	1783774367	3360444	543744	0	485492	0.0	4.25	0	0	20152320	0
77	1783774378	3309928	543744	0	497812	0.0	5.21	0	0	21508096	0
88	1783774389	3380908	543744	0	496176	0.0	4.65	0	0	23998464	0
99	1783774400	3369196	543744	0	502940	0.0	4.61	0	0	27148288	0
110	1783774411	3368076	543744	0	506236	0.0	4.29	0	0	29896704	0
121	1783774422	3352396	543744	0	521812	0.0	5.03	0	0	33112064	0
132	1783774433	3345860	543744	0	527716	0.0	4.70	0	0	35835904	0
143	1783774444	3339584	543744	0	529944	0.0	4.37	0	0	38109184	0
153	1783774454	3335704	543744	0	534040	0.0	4.09	0	0	41291776	0
164	1783774465	3335188	553728	0	530760	0.0	3.70	0	0	43114496	0
175	1783774476	3331772	554496	0	533172	0.0	3.52	0	0	45387776	0
186	1783774487	3326096	554496	0	535892	0.0	3.97	0	0	47669248	0
197	1783774498	3631544	554496	0	0	0.0	3.81	0	0	49041408	0
208	1783774509	3639572	554240	0	0	0.0	3.61	0	0	49041408	0
219	1783774520	3592948	554240	0	0	0.0	3.76	0	0	49041408	0
230	1783774531	3631884	554240	0	0	0.0	3.49	0	0	49041408	0
241	1783774542	4479816	548352	0	0	0.0	3.26	0	0	49041408	0
252	1783774553	3904744	548352	0	0	0.0	3.46	0	0	49041408	0
263	1783774564	3736680	548352	0	0	0.0	3.00	0	0	49041408	0
274	1783774575	3640980	548352	0	0	0.0	2.99	0	0	49041408	0
285	1783774586	3560372	548352	0	0	0.0	3.33	0	0	49041408	0
295	1783774596	3514460	548352	0	0	0.0	3.20	0	0	49041408	0
306	1783774607	3462796	567296	0	0	0.0	3.70	0	0	49041408	0
