elapsed_s	epoch_s	stack_rss_kib	stack_cpu_pct	rtabmap_rss_kib	gpu_pct	max_temp_millic	nav_publishers
0	1783774287	1703464	386.2	380220	7	60093	0
11	1783774298	1750976	190.8	424892	7	60562	0
23	1783774310	1777208	159.4	450856	18	60375	0
34	1783774321	1775116	143.8	448764	7	60406	0
46	1783774333	1777192	138.1	453152	9	60968	0
58	1783774345	1793704	134.1	466564	7	60843	0
69	1783774356	1805760	130.6	478016	7	60656	0
81	1783774368	1816484	128.1	486284	7	61406	0
93	1783774380	1831612	125.6	497680	17	61437	0
104	1783774391	1830696	125.8	496900	12	61187	0
116	1783774403	1837024	126.7	503184	7	61500	0
127	1783774414	1848220	126.1	512116	20	61531	0
139	1783774426	1858396	126.6	522528	17	61531	0
150	1783774437	1864732	127.0	528628	24	61843	0
162	1783774449	1867416	127.6	531312	11	61687	0
174	1783774461	1865028	127.5	532756	15	61625	0
185	1783774472	1851844	128.6	532168	10	61531	0
197	1783774484	1851720	128.3	535152	7	61937	0
208	1783774495	1857444	129.0	538752	12	61718	0
220	1783774507	1311700	59.7	0	16	61500	0
231	1783774518	1311700	57.1	0	11	60875	0
243	1783774530	1311700	55.0	0	7	60687	0
254	1783774541	26832	0.2	0	13	60781	0
266	1783774553	1013332	329.1	0	8	60875	0
278	1783774565	1143872	141.4	0	6	60718	0
289	1783774576	1215480	113.0	0	18	60750	0
301	1783774588	1289940	96.7	0	17	60843	0
312	1783774599	1375080	90.4	0	7	60531	0
324	1783774611	1400696	88.2	0	20	60343	0
