elapsed_s	epoch_s	mem_available_kib	swap_used_kib	dimos_rss_kib	rtabmap_rss_kib	dimos_cpu_pct	load1	gpu_pct	max_temp_millic	db_bytes	nav_publishers
0	1783775138	3456948	549376	0	454304	0.0	5.08	0	0	344064	0
11	1783775149	3456108	549376	0	453336	0.0	4.53	0	0	364544	0
22	1783775160	3455020	549376	0	449564	0.0	4.29	0	0	389120	0
33	1783775171	3453268	549376	0	456096	0.0	5.04	0	0	417792	0
44	1783775182	3435300	549376	0	454484	0.0	4.75	0	0	442368	0
55	1783775193	3447704	549376	0	451140	0.0	4.33	0	0	466944	0
66	1783775204	3447632	549376	0	458800	0.0	4.71	0	0	495616	0
76	1783775214	3436848	549376	0	461772	0.0	4.92	0	0	524288	0
87	1783775225	3441912	549376	0	459276	0.0	4.38	0	0	548864	0
98	1783775236	3440276	549376	0	459800	0.0	4.26	0	0	581632	0
109	1783775247	3428876	549376	0	470968	0.0	4.38	0	0	606208	0
120	1783775258	3429392	549376	0	478060	0.0	4.23	0	0	630784	0
131	1783775269	3429184	549376	0	472232	0.0	4.37	0	0	647168	0
142	1783775280	3427772	549376	0	472568	0.0	4.00	0	0	675840	0
153	1783775291	3421336	549376	0	475008	0.0	3.94	0	0	700416	0
164	1783775302	3419992	549376	0	476592	0.0	3.72	0	0	716800	0
175	1783775313	3417600	549376	0	479444	0.0	3.98	0	0	741376	0
186	1783775324	3407700	549376	0	486748	0.0	3.91	0	0	761856	0
196	1783775334	3403880	549376	0	487200	0.0	3.78	0	0	778240	0
208	1783775346	3402196	549376	0	489572	0.0	4.00	0	0	806912	0
218	1783775356	3398864	549376	0	491700	0.0	3.62	0	0	823296	0
229	1783775367	3390720	549376	0	494048	0.0	3.37	0	0	847872	0
240	1783775378	3377600	549376	0	494016	0.0	3.79	0	0	868352	0
251	1783775389	3387156	549376	0	494300	0.0	3.84	0	0	892928	0
262	1783775400	3389084	549376	0	496588	0.0	3.93	0	0	917504	0
273	1783775411	3391496	549376	0	491920	0.0	4.62	0	0	937984	0
284	1783775422	3385228	549376	0	497360	0.0	4.29	0	0	954368	0
295	1783775433	3385336	549376	0	498808	0.0	4.18	0	0	970752	0
306	1783775444	3384432	549376	0	499592	0.0	4.15	0	0	995328	0
317	1783775455	3381036	549376	0	500488	0.0	4.26	0	0	1011712	0
328	1783775466	3374272	549376	0	500832	0.0	4.87	0	0	1028096	0
339	1783775477	3376800	549376	0	500880	0.0	4.57	0	0	1052672	0
350	1783775488	3376784	549376	0	501852	0.0	4.56	0	0	1073152	0
361	1783775499	3372636	549376	0	503224	0.0	4.71	0	0	1093632	0
371	1783775509	3373444	549376	0	502600	0.0	4.28	0	0	1110016	0
382	1783775520	3368720	549376	0	504476	0.0	4.78	0	0	1118208	0
393	1783775531	3370940	549376	0	504380	0.0	4.23	0	0	1134592	0
404	1783775542	3371208	549376	0	501100	0.0	4.04	0	0	1155072	0
415	1783775553	3369276	549376	0	503692	0.0	4.19	0	0	1167360	0
426	1783775564	3361296	549376	0	509320	0.0	3.92	0	0	1179648	0
437	1783775575	3331524	549376	0	510340	0.0	4.01	0	0	1208320	0
448	1783775586	3347296	549376	0	517392	0.0	4.61	0	0	1224704	0
459	1783775597	3349984	549376	0	511872	0.0	4.53	0	0	1241088	0
470	1783775608	3354692	549376	0	511772	0.0	4.22	0	0	1261568	0
481	1783775619	3352712	549376	0	512236	0.0	4.26	0	0	1277952	0
492	1783775630	3354156	549376	0	512820	0.0	4.44	0	0	1298432	0
503	1783775641	3355220	549376	0	510216	0.0	4.68	0	0	1310720	0
514	1783775652	3346624	549376	0	515432	0.0	4.42	0	0	1331200	0
525	1783775663	3347120	549376	0	514688	0.0	4.13	0	0	1347584	0
536	1783775674	3344156	549376	0	518148	0.0	3.94	0	0	1368064	0
547	1783775685	3340964	549376	0	518724	0.0	3.94	0	0	1388544	0
558	1783775696	3340564	549376	0	519116	0.0	3.88	0	0	1404928	0
568	1783775706	3338424	549376	0	521324	0.0	3.54	0	0	1425408	0
579	1783775717	3335824	549376	0	520912	0.0	3.38	0	0	1437696	0
590	1783775728	3334096	549376	0	521052	0.0	3.46	0	0	1458176	0
