elapsed_s	epoch_s	stack_rss_kib	stack_cpu_pct	rtabmap_rss_kib	gpu_pct	max_temp_millic	nav_publishers
0	1783775111	25596	0.2	0	16	60468	0
12	1783775123	1671764	494.8	363820	26	61125	0
23	1783775134	1763452	188.5	442924	12	61750	0
35	1783775146	1777844	156.1	457048	17	61062	0
46	1783775157	1767084	140.9	446288	7	61250	0
58	1783775169	1781424	135.0	460628	7	61062	0
69	1783775180	1771104	126.3	455812	7	61406	0
81	1783775192	1767956	125.3	446448	8	61937	0
93	1783775204	1781220	122.9	458800	7	61468	0
104	1783775215	1785460	123.1	461772	7	61968	0
116	1783775227	1781884	121.8	458196	18	61750	0
127	1783775238	1784104	122.1	463316	17	62000	0
139	1783775250	1794924	122.8	470972	7	61781	0
150	1783775261	1796256	121.9	472304	7	61531	0
162	1783775273	1796992	123.0	473040	6	61875	0
174	1783775285	1798128	122.7	473652	10	62406	0
185	1783775296	1799812	123.8	475072	8	61937	0
197	1783775308	1802132	123.8	477068	7	62437	0
208	1783775319	1806532	125.0	481468	7	62062	0
220	1783775331	1807764	125.5	487184	7	62218	0
231	1783775342	1816968	126.7	488100	17	62281	0
243	1783775354	1817028	127.0	491696	7	62343	0
254	1783775365	1820268	128.0	493700	12	62000	0
266	1783775377	1821252	128.9	494016	7	62031	0
277	1783775388	1821912	130.0	494396	13	63250	0
289	1783775400	1823052	131.2	495536	16	62781	0
301	1783775412	1819948	131.9	491920	7	63031	0
312	1783775423	1826024	132.7	497472	8	62625	0
324	1783775435	1827620	133.9	498804	17	63031	0
335	1783775446	1828624	134.4	499544	7	62437	0
347	1783775458	1830224	135.8	500352	16	63281	0
359	1783775470	1830932	136.0	500796	26	62593	0
370	1783775481	1831180	136.9	501044	7	63062	0
382	1783775493	1834232	137.7	503268	7	62812	0
393	1783775504	1829128	138.5	498088	19	62593	0
405	1783775516	1831764	139.0	500196	6	62562	0
416	1783775527	1841132	139.7	504584	23	62656	0
428	1783775539	1833760	140.0	501696	7	62562	0
439	1783775550	1836416	141.0	503500	7	62937	0
451	1783775562	1840860	141.3	509412	17	63125	0
463	1783775574	1842844	141.6	510076	17	62687	0
474	1783775585	1844532	141.8	511500	9	63031	0
486	1783775597	1844984	142.5	511952	13	62781	0
498	1783775609	1843852	143.2	511688	17	63187	0
509	1783775620	1844616	144.2	512188	7	63062	0
521	1783775632	1845352	144.2	512660	7	62625	0
532	1783775643	1842512	144.2	515704	7	62531	0
544	1783775655	1848548	144.1	515400	17	63218	0
555	1783775666	1850416	143.9	516540	7	62375	0
567	1783775678	1851732	144.1	518084	14	62687	0
579	1783775690	1852312	144.1	518420	7	62875	0
590	1783775701	1854036	144.3	519860	16	62750	0
602	1783775713	1855240	144.5	520916	8	62625	0
613	1783775724	1855496	144.7	520908	7	62500	0
625	1783775736	1855956	144.8	521368	8	62250	0
636	1783775747	25504	0.2	0	24	62218	0
648	1783775759	1074500	220.7	0	7	63000	0
659	1783775770	1153632	126.4	0	6	61781	0
671	1783775782	1222968	108.4	0	14	61500	0
683	1783775794	1298904	98.4	0	7	61281	0
